Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,7.433800,7.437200,7.433800,7.433800,7.433800,0
2021-01-04,7.438270,7.438800,7.339000,7.433420,7.433420,0
2021-01-05,7.416980,7.427290,7.361470,7.421500,7.421500,0
2021-01-06,7.384300,7.390500,7.263800,7.383790,7.383790,0
2021-01-07,7.299100,7.385450,7.240800,7.299720,7.299720,0
2021-01-08,7.326600,7.408640,7.304950,7.326600,7.326600,0
2021-01-11,7.356990,7.517900,7.353650,7.357650,7.357650,0
2021-01-12,7.472500,7.515380,7.423270,7.471950,7.471950,0
2021-01-13,7.447030,7.471740,7.399700,7.446960,7.446960,0
2021-01-14,7.395000,7.450170,7.356900,7.394270,7.394270,0
2021-01-15,7.365900,7.503870,7.360840,7.366100,7.366100,0
2021-01-18,7.449480,7.534150,7.446040,7.449080,7.449080,0
2021-01-19,7.480700,7.484950,7.420710,7.475180,7.475180,0
2021-01-20,7.474500,7.474500,7.389990,7.466300,7.466300,0
2021-01-21,7.415600,7.419950,7.347070,7.410600,7.410600,0
2021-01-22,7.366200,7.437910,7.363500,7.365700,7.365700,0
2021-01-25,7.419000,7.424900,7.361700,7.417730,7.417730,0
2021-01-26,7.406800,7.431130,7.332710,7.407500,7.407500,0
2021-01-27,7.343600,7.406190,7.339500,7.347300,7.347300,0
2021-01-28,7.390460,7.426700,7.340600,7.392240,7.392240,0
2021-01-29,7.344380,7.384300,7.275300,7.345780,7.345780,0
2021-02-01,7.279700,7.287850,7.152630,7.277700,7.277700,0
2021-02-02,7.184170,7.190960,7.090370,7.185070,7.185070,0
2021-02-03,7.192920,7.199600,7.124630,7.192600,7.192600,0
2021-02-04,7.149100,7.172320,7.097320,7.156600,7.156600,0
2021-02-05,7.132700,7.145520,7.029140,7.132900,7.132900,0
2021-02-08,7.056900,7.118150,7.027800,7.056900,7.056900,0
2021-02-09,7.081510,7.128390,7.063700,7.074900,7.074900,0
2021-02-10,7.060800,7.083400,7.029120,7.063980,7.063980,0
2021-02-11,7.055730,7.062800,7.007900,7.055480,7.055480,0
2021-02-12,7.025400,7.045440,7.006700,7.023900,7.023900,0
2021-02-15,7.029600,7.030510,6.943300,7.028900,7.028900,0
2021-02-16,6.956800,7.008990,6.895420,6.956900,6.956900,0
2021-02-17,6.982900,7.051950,6.968970,6.982400,6.982400,0
2021-02-18,6.962450,7.004800,6.923990,6.963210,6.963210,0
2021-02-19,6.970480,7.002000,6.945750,6.965590,6.965590,0
2021-02-22,6.981400,7.082300,6.951550,6.981400,6.981400,0
2021-02-23,7.013700,7.089720,7.002000,7.010000,7.010000,0
2021-02-24,7.108250,7.242270,7.068500,7.100300,7.100300,0
2021-02-25,7.160010,7.261200,7.152490,7.163800,7.163800,0
2021-02-26,7.341900,7.478160,7.304260,7.323100,7.323100,0
