Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,8.691850,8.715500,8.644000,8.704700,8.704700,0
2021-07-02,8.663760,8.718840,8.653400,8.664610,8.664610,0
2021-07-05,8.689400,8.707260,8.650500,8.688400,8.688400,0
2021-07-06,8.660200,8.698200,8.634640,8.660000,8.660000,0
2021-07-07,8.683000,8.708090,8.655000,8.680300,8.680300,0
2021-07-08,8.675570,8.726790,8.673100,8.678500,8.678500,0
2021-07-09,8.682000,8.702450,8.649100,8.681900,8.681900,0
2021-07-12,8.654100,8.669130,8.620500,8.654300,8.654300,0
2021-07-13,8.632210,8.637300,8.583300,8.632100,8.632100,0
2021-07-14,8.619600,8.644170,8.582400,8.619200,8.619200,0
2021-07-15,8.584630,8.587850,8.549800,8.584050,8.584050,0
2021-07-16,8.561500,8.572860,8.491660,8.560690,8.560690,0
2021-07-19,8.533410,8.605390,8.513150,8.532100,8.532100,0
2021-07-20,8.580100,8.590950,8.531500,8.580100,8.580100,0
2021-07-21,8.571500,8.601220,8.558800,8.570400,8.570400,0
2021-07-22,8.553940,8.574200,8.529000,8.554160,8.554160,0
2021-07-23,8.556700,8.563800,8.529800,8.556500,8.556500,0
2021-07-26,8.547700,8.619870,8.544000,8.547570,8.547570,0
2021-07-27,8.553720,8.578930,8.547100,8.554500,8.554500,0
2021-07-28,8.556000,8.573520,8.540700,8.556100,8.556100,0
2021-07-29,8.555400,8.556700,8.440300,8.551260,8.551260,0
2021-07-30,8.452690,8.480020,8.397800,8.452260,8.452260,0
2021-08-02,8.437300,8.473010,8.338700,8.436680,8.436680,0
2021-08-03,8.347140,8.440810,8.296950,8.349800,8.349800,0
2021-08-04,8.397780,8.487300,8.383100,8.401200,8.401200,0
2021-08-05,8.471240,8.567450,8.467640,8.475500,8.475500,0
2021-08-06,8.525900,8.636000,8.521630,8.525600,8.525600,0
2021-08-09,8.625700,8.665090,8.613390,8.627900,8.627900,0
2021-08-10,8.646070,8.664420,8.588000,8.648990,8.648990,0
2021-08-11,8.599800,8.676550,8.560600,8.598800,8.598800,0
2021-08-12,8.625010,8.628100,8.527000,8.625440,8.625440,0
2021-08-13,8.564500,8.578500,8.517400,8.561190,8.561190,0
2021-08-16,8.512400,8.523020,8.454700,8.512200,8.512200,0
2021-08-17,8.455530,8.483550,8.386100,8.454700,8.454700,0
2021-08-18,8.427270,8.493800,8.420380,8.426670,8.426670,0
2021-08-19,8.453570,8.546600,8.440300,8.453520,8.453520,0
2021-08-20,8.532100,8.555400,8.481200,8.530800,8.530800,0
2021-08-23,8.489930,8.492000,8.431600,8.490800,8.490800,0
2021-08-24,8.425730,8.437400,8.399120,8.426500,8.426500,0
2021-08-25,8.412700,8.421100,8.371000,8.411800,8.411800,0
2021-08-26,8.371340,8.399200,8.350680,8.373380,8.373380,0
2021-08-27,8.381900,8.402710,8.342430,8.376410,8.376410,0
2021-08-30,8.353300,8.386600,8.323300,8.348630,8.348630,0
2021-08-31,8.369490,8.379000,8.294100,8.367300,8.367300,0
2021-09-01,8.316900,8.328530,8.273560,8.304500,8.304500,0
2021-09-02,8.289900,8.297500,8.260700,8.283780,8.283780,0
2021-09-03,8.281200,8.345400,8.274000,8.279580,8.279580,0
2021-09-06,8.311580,8.329560,8.266700,8.312650,8.312650,0
2021-09-07,8.279600,8.348300,8.267600,8.276780,8.276780,0
2021-09-08,8.344800,8.478750,8.336210,8.344800,8.344800,0
2021-09-09,8.470410,8.509100,8.441800,8.472200,8.472200,0
2021-09-10,8.440300,8.458510,8.396800,8.440400,8.440400,0
